BlockStateName,Type,ValidValues,Description 
dirt_type ,String ,"normal, coarse ",Determines the dirt type of a block 
sand_type ,String ,"normal, red ",Determines the sand type of a block 
old_log_type ,String ,"oak, spruce, birch, jungle ",Determines the wood type of some blocks 
new_log_type ,String ,"acacia, dark_oak ",Determines the wood type of some blocks 
chisel_type ,String ,"default, chiseled, lines, smooth ",Determines the pattern of quartz and purpur blocks 
old_leaf_type ,String ,"oak, spruce, birch, jungle ",Determines the leaf type of some blocks 
new_leaf_type ,String ,"acacia, dark_oak ",Determines the leaf type of some blocks 
sponge_type ,String ,"dry, wet ",Determines the type of a sponge block 
sand_stone_type ,String ,"default, heiroglyphs, cut, smooth ",Determines the pattern of a sandstone block 
tall_grass_type ,String ,"default, tall, fern, snow ",Determines the type of a tall grass block 
flower_type ,String ,"poppy, orchid, allium, houstonia, tulip_red, tulip_orange, tulip_white, tulip_pink, oxeye, cornflower, lily_of_the_valley ",Determines the type of a flower block 
stone_slab_type ,String ,"smooth_stone, sandstone, wood, cobblestone, brick, stone_brick, quartz, nether_brick ",Determines the type of some stone slab blocks 
stone_slab_type_2 ,String ,"red_sandstone, purpur, prismarine_rough, prismarine_dark, prismarine_brick, mossy_cobblestone, smooth_sandstone, red_nether_brick ",Determines the type of some stone slab blocks 
stone_slab_type_3 ,String ,"end_stone_brick, smooth_red_sandstone, polishe_andesite, andesite, diorite, polished_diorite, granite, polished_granite ",Determines the type of some stone slab blocks 
stone_slab_type_4 ,String ,"mossy_stone_brick, smooth_quartz, stone, cut_sandstone, cut_red_sandstone ",Determines the type of some stone slab blocks 
monster_egg_stone_type ,String ,"stone, cobblestone, stone_brick, mossy_stone_brick, cracked_stone_brick, chiseled_stone_brick ",Determines the stone type of a monster egg block 
stone_brick_type ,String ,"default, mossy, cracked, chiseled, smooth ",Determines the type of a stone brick block 
huge_mushroom_bits ,Integer ,0 - 15 ,Determines which huge mushroom block to be displayed 
wall_block_type ,String ,"cobblestone, mossy_cobblestone, granite, diorite, andesite, sandstone, brick, stone_brick, mossy_stone_brick, nether_brick, end_brick, prismarine, red_sandstone, red_nether_brick ",Determines the type of a stone used in a wall block 
double_plant_type ,String ,"sunflower, syringa, grass, fern, rose, paeonia ",Determines the type of a double plant block 
chemistry_table_type ,String ,"compound_creator, material_reducer, element_constructor, lab_table ",Determines the type of the work benches that are behind the edu features toggle 
sea_grass_type ,String ,"default, double_top, double_bot ",Determines the type of a seagrass block 
coral_color ,String ,"blue, pink, purple, red, yellow ",Determines the color of a coral block 
cauldron_liquid ,String ,"water, lava ",Determines the type of liquid in a cauldron 
hanging ,Boolean ,"True, False ",Describes if a lantern block is hanging or not 
stripped_bit ,Boolean ,"True, False ",Describes if a wood log has been stripped of bark 
coral_hang_type_bit ,Boolean ,"True, False ",Describes the type of hanging for coral fans 
attachment ,String ,"standing, hanging, side, multiple ",Determines the type of attachment used by a bell or grindstone block 
structure_void_type ,String ,"void, air ",Determines which void mode to draw for structure blocks 
structure_block_type ,String ,"data, save, load, corner, invalid, export ",Determines the state of a structure block 
pillar_axis ,String ,"x, y, z ",Determines the direction in which the pillar will be displayed 
extinguished ,Boolean,"true, false ",Fire is extinguished 
honey_level ,Integer,0 - 4 ,Determines the honey level of a bee nest 
composter_fill_level ,Integer,0 - 4 ,Determines the fill level of a composter 
prismarine_block_type ,String ,"dark, default, bricks ",Determines the type of prismarine block 
deprecated ,Boolean ,"true, false ",
